epoch,train_loss,val_loss,rec_loss,inv_loss,var_loss
0,0.903554,2.29987,0.845892,2.43994,0.789034
1,0.883399,2.25377,0.294823,2.28412,0.788023
2,0.923592,2.244,0.20921,2.28006,0.794457
3,0.964496,2.26405,0.165603,2.2851,0.798247
4,1.00344,2.27384,0.132297,2.29003,0.801918
5,1.03965,2.27104,0.102496,2.29835,0.804335
6,1.07185,2.27723,0.0787086,2.29974,0.806926
7,1.11081,2.2546,0.0613006,2.29301,0.80764
8,1.15313,2.26634,0.0500006,2.27925,0.806515
9,1.20331,2.24572,0.0427626,2.27956,0.804292
10,1.25101,2.24987,0.0369276,2.27814,0.804103
11,1.29028,2.23074,0.0325621,2.26481,0.804604
12,1.34353,2.22963,0.0287769,2.25484,0.804002
13,1.40082,2.20715,0.0262268,2.24296,0.803072
14,1.4576,2.19806,0.0238354,2.21976,0.80177
15,1.51255,2.188,0.0223242,2.22124,0.801081
16,1.57756,2.16744,0.0208327,2.20198,0.799717
17,1.63548,2.15802,0.0195037,2.18091,0.800042
18,1.69585,2.14897,0.0182884,2.18165,0.799531
19,1.76118,2.15231,0.0176642,2.17949,0.798897
20,1.82059,2.15856,0.0168794,2.17732,0.798437
21,1.83541,2.12876,0.0161031,2.16735,0.798038
22,1.85226,2.14571,0.0155783,2.16517,0.796962
23,1.85029,2.14802,0.0149118,2.16596,0.796543
24,1.86644,2.10892,0.0140407,2.14633,0.795657
25,1.87551,2.10944,0.0136159,2.1264,0.795495
26,1.89365,2.08644,0.0129323,2.11921,0.794913
27,1.90735,2.09622,0.0126824,2.11667,0.793872
28,1.91595,2.0919,0.0121953,2.11556,0.792787
29,1.92057,2.09282,0.0121101,2.11521,0.792769
30,1.92301,2.09198,0.012034,2.11436,0.79254
31,1.94067,2.0863,0.0117842,2.1111,0.791604
32,1.95012,2.08077,0.0116853,2.10673,0.791331
33,1.96184,2.08032,0.0113041,2.10233,0.790968
34,1.97338,2.06312,0.011182,2.09353,0.7901
35,1.97809,2.06866,0.0112077,2.0944,0.790421
36,1.98419,2.07406,0.0107548,2.0889,0.790427
37,1.9822,2.05032,0.0107686,2.09105,0.790501
38,1.99104,2.05954,0.0101999,2.08368,0.790079
39,1.99707,2.05251,0.0102569,2.07611,0.789901
40,1.99727,2.05593,0.0103381,2.0784,0.789556
41,1.99914,2.0657,0.0103268,2.08566,0.789274
42,2.00766,2.06343,0.0101382,2.08491,0.789427
43,2.00565,2.05859,0.0101005,2.08207,0.789482
44,2.0068,2.05336,0.0103428,2.08009,0.789533
45,2.00392,2.06696,0.0101761,2.07607,0.789396
46,2.00981,2.05386,0.0101297,2.07883,0.789023
47,2.01935,2.05104,0.0100757,2.07415,0.788642
48,2.02649,2.0538,0.00964028,2.07487,0.788257
49,2.0304,2.04919,0.0097206,2.07491,0.788545
